stcode,jurisdiction,first_dose_allocations,second_dose_allocations,week_of_allocations
MO,Oregon,58500,58500,2021-04-12
AL,Washington,102960,102960,2021-04-12
,Federal Entities,201240,201240,2021-04-12
CT,Connecticut,50310,50310,2021-04-05
ME,Maine,19890,19890,2021-04-05
MA,Massachusetts,95940,95940,2021-04-05
NH,New Hampshire,19890,19890,2021-04-05
,Rhode Island,15210,15210,2021-04-05
VT,Vermont,9360,9360,2021-04-05
NJ,New Jersey,120510,120510,2021-04-05
NY,New York,153270,153270,2021-04-05
NY,New York City,117000,117000,2021-04-05
PR,Puerto Rico,47970,47970,2021-04-05
,U.S. Virgin Islands,2340,2340,2021-04-05
DE,Delaware,14040,14040,2021-04-05
DC,District of Columbia,10530,10530,2021-04-05
MD,Maryland,81900,81900,2021-04-05
PA,Pennsylvania,155610,155610,2021-04-05
PA,Philadelphia,22230,22230,2021-04-05
VA,Virginia,114660,114660,2021-04-05
WV,West Virginia,25740,25740,2021-04-05
AL,Alabama,66690,66690,2021-04-05
FL,Florida,286650,286650,2021-04-05
GA,Georgia,136890,136890,2021-04-05
KY,Kentucky,60840,60840,2021-04-05
AR,Mississippi,39780,39780,2021-04-05
NC,North Carolina,138060,138060,2021-04-05
SC,South Carolina,67860,67860,2021-04-05
TN,Tennessee,90090,90090,2021-04-05
IL,Chicago,37440,37440,2021-04-05
IL,Illinois,136890,136890,2021-04-05
IN,Indiana,88920,88920,2021-04-05
MI,Michigan,135720,135720,2021-04-05
MN,Minnesota,74880,74880,2021-04-05
IN,Ohio,157950,157950,2021-04-05
WI,Wisconsin,79560,79560,2021-04-05
AR,Arkansas,39780,39780,2021-04-05
LA,Louisiana,62010,62010,2021-04-05
NM,New Mexico,29250,29250,2021-04-05
OK,Oklahoma,52650,52650,2021-04-05
MO,Texas,359190,359190,2021-04-05
IA,Iowa,42120,42120,2021-04-05
AR,Kansas,38610,38610,2021-04-05
MO,Missouri,83070,83070,2021-04-05
NE,Nebraska,25740,25740,2021-04-05
CO,Colorado,74880,74880,2021-04-05
MT,Montana,15210,15210,2021-04-05
