stcode,jurisdiction,first_dose_allocations,second_dose_allocations,week_of_allocations
AR,Kansas,31300,31300,2021-05-03
MO,Missouri,67100,67100,2021-05-03
NE,Nebraska,20700,20700,2021-05-03
CO,Colorado,60900,60900,2021-05-03
MT,Montana,11700,11700,2021-05-03
ND,North Dakota,8500,8500,2021-05-03
SD,South Dakota,9300,9300,2021-05-03
UT,Utah,30500,30500,2021-05-03
NY,Wyoming,6400,6400,2021-05-03
AZ,Arizona,76200,76200,2021-05-03
CA,California,428600,428600,2021-05-03
HI,Hawaii,15900,15900,2021-05-03
AR,Nevada,32100,32100,2021-05-03
AS,American Samoa,0,0,2021-05-03
GU,Guam,0,0,2021-05-03
,Marshall Islands,0,0,2021-05-03
,Micronesia,0,0,2021-05-03
,Mariana Islands,0,0,2021-05-03
,Palau,0,0,2021-05-03
AK,Alaska,15200,15200,2021-05-03
ID,Idaho,17800,17800,2021-05-03
MO,Oregon,46000,46000,2021-05-03
AL,Washington,81700,81700,2021-05-03
,Federal Entities,161100,161100,2021-05-03
CT,Connecticut,40400,40400,2021-04-26
ME,Maine,15400,15400,2021-04-26
MA,Massachusetts,77700,77700,2021-04-26
NH,New Hampshire,15500,15500,2021-04-26
,Rhode Island,12100,12100,2021-04-26
VT,Vermont,7300,7300,2021-04-26
NJ,New Jersey,98500,98500,2021-04-26
NY,New York,125400,125400,2021-04-26
NY,New York City,95200,95200,2021-04-26
PR,Puerto Rico,38500,38500,2021-04-26
,U.S. Virgin Islands,1200,1200,2021-04-26
DE,Delaware,10700,10700,2021-04-26
DC,District of Columbia,8100,8100,2021-04-26
MD,Maryland,66500,66500,2021-04-26
PA,Pennsylvania,126700,126700,2021-04-26
PA,Philadelphia,17600,17600,2021-04-26
VA,Virginia,93300,93300,2021-04-26
WV,West Virginia,20800,20800,2021-04-26
AL,Alabama,53700,53700,2021-04-26
FL,Florida,234500,234500,2021-04-26
GA,Georgia,111100,111100,2021-04-26
KY,Kentucky,48900,48900,2021-04-26
AR,Mississippi,32400,32400,2021-04-26
NC,North Carolina,112100,112100,2021-04-26
SC,South Carolina,55000,55000,2021-04-26
TN,Tennessee,73400,73400,2021-04-26
IL,Chicago,29900,29900,2021-04-26
IL,Illinois,111300,111300,2021-04-26
IN,Indiana,72200,72200,2021-04-26
MI,Michigan,110600,110600,2021-04-26
MN,Minnesota,60600,60600,2021-04-26
IN,Ohio,128600,128600,2021-04-26
WI,Wisconsin,64400,64400,2021-04-26
AR,Arkansas,32600,32600,2021-04-26
LA,Louisiana,50700,50700,2021-04-26
NM,New Mexico,23100,23100,2021-04-26
OK,Oklahoma,42200,42200,2021-04-26
MO,Texas,293500,293500,2021-04-26
IA,Iowa,34300,34300,2021-04-26
AR,Kansas,31300,31300,2021-04-26
MO,Missouri,67100,67100,2021-04-26
NE,Nebraska,20700,20700,2021-04-26
CO,Colorado,60900,60900,2021-04-26
MT,Montana,11700,11700,2021-04-26
ND,North Dakota,8500,8500,2021-04-26
SD,South Dakota,9300,9300,2021-04-26
UT,Utah,30500,30500,2021-04-26
NY,Wyoming,6400,6400,2021-04-26
AZ,Arizona,76200,76200,2021-04-26
CA,California,428600,428600,2021-04-26
HI,Hawaii,15900,15900,2021-04-26
AR,Nevada,32100,32100,2021-04-26
AS,American Samoa,0,0,2021-04-26
GU,Guam,0,0,2021-04-26
,Marshall Islands,0,0,2021-04-26
,Micronesia,0,0,2021-04-26
,Mariana Islands,0,0,2021-04-26
,Palau,0,0,2021-04-26
AK,Alaska,0,0,2021-04-26
ID,Idaho,17800,17800,2021-04-26
MO,Oregon,46000,46000,2021-04-26
AL,Washington,81700,81700,2021-04-26
,Federal Entities,161100,161100,2021-04-26
CT,Connecticut,40400,40400,2021-04-19
ME,Maine,15400,15400,2021-04-19
MA,Massachusetts,77700,77700,2021-04-19
NH,New Hampshire,15500,15500,2021-04-19
,Rhode Island,12100,12100,2021-04-19
VT,Vermont,7300,7300,2021-04-19
NJ,New Jersey,98500,98500,2021-04-19
NY,New York,125400,125400,2021-04-19
NY,New York City,95200,95200,2021-04-19
PR,Puerto Rico,38500,38500,2021-04-19
,U.S. Virgin Islands,1200,1200,2021-04-19
DE,Delaware,10700,10700,2021-04-19
DC,District of Columbia,8100,8100,2021-04-19
MD,Maryland,66500,66500,2021-04-19
PA,Pennsylvania,126700,126700,2021-04-19
PA,Philadelphia,17600,17600,2021-04-19
VA,Virginia,93300,93300,2021-04-19
WV,West Virginia,20800,20800,2021-04-19
AL,Alabama,53700,53700,2021-04-19
FL,Florida,234500,234500,2021-04-19
GA,Georgia,111100,111100,2021-04-19
KY,Kentucky,48900,48900,2021-04-19
AR,Mississippi,32400,32400,2021-04-19
NC,North Carolina,112100,112100,2021-04-19
SC,South Carolina,55000,55000,2021-04-19
TN,Tennessee,73400,73400,2021-04-19
IL,Chicago,29900,29900,2021-04-19
IL,Illinois,111300,111300,2021-04-19
IN,Indiana,72200,72200,2021-04-19
MI,Michigan,110600,110600,2021-04-19
MN,Minnesota,60600,60600,2021-04-19
IN,Ohio,128600,128600,2021-04-19
WI,Wisconsin,64400,64400,2021-04-19
AR,Arkansas,32600,32600,2021-04-19
LA,Louisiana,50700,50700,2021-04-19
NM,New Mexico,23100,23100,2021-04-19
OK,Oklahoma,42200,42200,2021-04-19
MO,Texas,293500,293500,2021-04-19
IA,Iowa,34300,34300,2021-04-19
AR,Kansas,31300,31300,2021-04-19
MO,Missouri,67100,67100,2021-04-19
NE,Nebraska,20700,20700,2021-04-19
CO,Colorado,60900,60900,2021-04-19
MT,Montana,11700,11700,2021-04-19
ND,North Dakota,8500,8500,2021-04-19
SD,South Dakota,9300,9300,2021-04-19
UT,Utah,30500,30500,2021-04-19
NY,Wyoming,6400,6400,2021-04-19
AZ,Arizona,76200,76200,2021-04-19
CA,California,428600,428600,2021-04-19
HI,Hawaii,15900,15900,2021-04-19
AR,Nevada,32100,32100,2021-04-19
AS,American Samoa,0,0,2021-04-19
GU,Guam,0,0,2021-04-19
,Marshall Islands,0,0,2021-04-19
,Micronesia,0,0,2021-04-19
,Mariana Islands,0,0,2021-04-19
,Palau,0,0,2021-04-19
AK,Alaska,0,0,2021-04-19
ID,Idaho,17800,17800,2021-04-19
MO,Oregon,46000,46000,2021-04-19
AL,Washington,81700,81700,2021-04-19
,Federal Entities,149400,149400,2021-04-19
CT,Connecticut,37400,37400,2021-04-12
ME,Maine,14300,14300,2021-04-12
MA,Massachusetts,72100,72100,2021-04-12
NH,New Hampshire,14300,14300,2021-04-12
,Rhode Island,11300,11300,2021-04-12
VT,Vermont,6700,6700,2021-04-12
NJ,New Jersey,91300,91300,2021-04-12
NY,New York,116300,116300,2021-04-12
NY,New York City,88300,88300,2021-04-12
PR,Puerto Rico,35700,35700,2021-04-12
,U.S. Virgin Islands,1100,1100,2021-04-12
DE,Delaware,9900,9900,2021-04-12
DC,District of Columbia,7500,7500,2021-04-12
MD,Maryland,61600,61600,2021-04-12
PA,Pennsylvania,117500,117500,2021-04-12
PA,Philadelphia,16300,16300,2021-04-12
VA,Virginia,86500,86500,2021-04-12
WV,West Virginia,19300,19300,2021-04-12
AL,Alabama,49800,49800,2021-04-12
FL,Florida,217400,217400,2021-04-12
GA,Georgia,103000,103000,2021-04-12
KY,Kentucky,45300,45300,2021-04-12
AR,Mississippi,30000,30000,2021-04-12
NC,North Carolina,103900,103900,2021-04-12
SC,South Carolina,51000,51000,2021-04-12
TN,Tennessee,68100,68100,2021-04-12
IL,Chicago,27700,27700,2021-04-12
IL,Illinois,103100,103100,2021-04-12
IN,Indiana,66900,66900,2021-04-12
MI,Michigan,102600,102600,2021-04-12
MN,Minnesota,56200,56200,2021-04-12
IN,Ohio,119300,119300,2021-04-12
WI,Wisconsin,59700,59700,2021-04-12
AR,Arkansas,30200,30200,2021-04-12
LA,Louisiana,47000,47000,2021-04-12
NM,New Mexico,21400,21400,2021-04-12
OK,Oklahoma,39200,39200,2021-04-12
MO,Texas,272100,272100,2021-04-12
IA,Iowa,31800,31800,2021-04-12
AR,Kansas,29000,29000,2021-04-12
MO,Missouri,62200,62200,2021-04-12
NE,Nebraska,19200,19200,2021-04-12
CO,Colorado,56500,56500,2021-04-12
MT,Montana,10800,10800,2021-04-12
ND,North Dakota,7800,7800,2021-04-12
SD,South Dakota,8700,8700,2021-04-12
UT,Utah,28300,28300,2021-04-12
NY,Wyoming,5900,5900,2021-04-12
AZ,Arizona,70600,70600,2021-04-12
CA,California,397400,397400,2021-04-12
HI,Hawaii,14800,14800,2021-04-12
AR,Nevada,29800,29800,2021-04-12
AS,American Samoa,0,0,2021-04-12
GU,Guam,0,0,2021-04-12
,Marshall Islands,0,0,2021-04-12
,Micronesia,0,0,2021-04-12
,Mariana Islands,0,0,2021-04-12
,Palau,0,0,2021-04-12
AK,Alaska,0,0,2021-04-12
ID,Idaho,16600,16600,2021-04-12
MO,Oregon,42700,42700,2021-04-12
AL,Washington,75700,75700,2021-04-12
,Federal Entities,149400,149400,2021-04-12
CT,Connecticut,37400,37400,2021-04-05
ME,Maine,14300,14300,2021-04-05
MA,Massachusetts,72100,72100,2021-04-05
NH,New Hampshire,14300,14300,2021-04-05
,Rhode Island,11300,11300,2021-04-05
VT,Vermont,6700,6700,2021-04-05
NJ,New Jersey,91300,91300,2021-04-05
NY,New York,116300,116300,2021-04-05
NY,New York City,88300,88300,2021-04-05
PR,Puerto Rico,35700,35700,2021-04-05
,U.S. Virgin Islands,1100,1100,2021-04-05
DE,Delaware,9900,9900,2021-04-05
DC,District of Columbia,7500,7500,2021-04-05
MD,Maryland,61600,61600,2021-04-05
PA,Pennsylvania,117500,117500,2021-04-05
PA,Philadelphia,16300,16300,2021-04-05
VA,Virginia,86500,86500,2021-04-05
WV,West Virginia,19300,19300,2021-04-05
AL,Alabama,49800,49800,2021-04-05
FL,Florida,217400,217400,2021-04-05
GA,Georgia,103000,103000,2021-04-05
KY,Kentucky,45300,45300,2021-04-05
AR,Mississippi,30000,30000,2021-04-05
NC,North Carolina,103900,103900,2021-04-05
SC,South Carolina,51000,51000,2021-04-05
TN,Tennessee,68100,68100,2021-04-05
IL,Chicago,27700,27700,2021-04-05
IL,Illinois,103100,103100,2021-04-05
IN,Indiana,66900,66900,2021-04-05
MI,Michigan,102600,102600,2021-04-05
MN,Minnesota,56200,56200,2021-04-05
IN,Ohio,119300,119300,2021-04-05
WI,Wisconsin,59700,59700,2021-04-05
AR,Arkansas,30200,30200,2021-04-05
